location,date,n.weather,d.weather,growth_stage,plot_id,block,treatment,row,sample,n.absent,n.partial,n.predated,d.absent,d.partial,d.predated,to.predated
PA,6/16/2021,15.28,18.44,V3,101,1,1,6,1,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,101,1,1,6,2,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,101,1,1,6,3,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,101,1,1,11,4,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,101,1,1,11,5,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,101,1,1,11,6,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,102,1,3,6,1,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,102,1,3,6,2,0,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,102,1,3,6,3,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,102,1,3,11,4,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,102,1,3,11,5,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,102,1,3,11,6,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,103,1,2,6,1,0,1,1,0,1,na,1
PA,6/16/2021,15.28,18.44,V3,103,1,2,6,2,0,1,1,0,1,na,1
PA,6/16/2021,15.28,18.44,V3,103,1,2,6,3,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,103,1,2,11,4,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,103,1,2,11,5,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,103,1,2,11,6,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,104,1,4,6,1,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,104,1,4,6,2,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,104,1,4,6,3,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,104,1,4,11,4,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,104,1,4,11,5,1,1,1,0,1,na,1
PA,6/16/2021,15.28,18.44,V3,104,1,4,11,6,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,201,2,3,6,1,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,201,2,3,6,2,0,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,201,2,3,6,3,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,201,2,3,11,4,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,201,2,3,11,5,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,201,2,3,11,6,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,202,2,4,6,1,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,202,2,4,6,2,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,202,2,4,6,3,0,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,202,2,4,11,4,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,202,2,4,11,5,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,202,2,4,11,6,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,203,2,1,6,1,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,203,2,1,6,2,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,203,2,1,6,3,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,203,2,1,11,4,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,203,2,1,11,5,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,203,2,1,11,6,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,204,2,2,6,1,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,204,2,2,6,2,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,204,2,2,6,3,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,204,2,2,11,4,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,204,2,2,11,5,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,204,2,2,11,6,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,301,3,4,6,1,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,301,3,4,6,2,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,301,3,4,6,3,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,301,3,4,11,4,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,301,3,4,11,5,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,301,3,4,11,6,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,302,3,2,6,1,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,302,3,2,6,2,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,302,3,2,6,3,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,302,3,2,11,4,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,302,3,2,11,5,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,302,3,2,11,6,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,303,3,3,6,1,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,303,3,3,6,2,0,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,303,3,3,6,3,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,303,3,3,11,4,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,303,3,3,11,5,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,303,3,3,11,6,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,304,3,1,6,1,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,304,3,1,6,2,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,304,3,1,6,3,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,304,3,1,11,4,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,304,3,1,11,5,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,304,3,1,11,6,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,401,4,1,6,1,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,401,4,1,6,2,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,401,4,1,6,3,0,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,401,4,1,11,4,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,401,4,1,11,5,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,401,4,1,11,6,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,402,4,3,6,1,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,402,4,3,6,2,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,402,4,3,6,3,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,402,4,3,11,4,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,402,4,3,11,5,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,402,4,3,11,6,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,403,4,2,6,1,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,403,4,2,6,2,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,403,4,2,6,3,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,403,4,2,11,4,0,0,0,0,1,1,1
