location,season,month,date,7day_precip,temp,time,plot_id,block,treatment,row,shingle_id,slug_count
PA,spring,may,5/25/2021,0.33,12.78,6:42,101,1,1,6.5,101-1,0
PA,spring,may,5/25/2021,0.33,12.78,6:42,101,1,1,6.5,101-2,0
PA,spring,may,5/25/2021,0.33,12.78,6:42,101,1,1,10.5,101-3,0
PA,spring,may,5/25/2021,0.33,12.78,6:42,101,1,1,10.5,101-4,0
PA,spring,may,5/25/2021,0.33,12.78,6:47,102,1,3,6.5,102-1,0
PA,spring,may,5/25/2021,0.33,12.78,6:47,102,1,3,6.5,102-2,2
PA,spring,may,5/25/2021,0.33,12.78,6:47,102,1,3,10.5,102-3,0
PA,spring,may,5/25/2021,0.33,12.78,6:47,102,1,3,10.5,102-4,0
PA,spring,may,5/25/2021,0.33,12.78,6:45,103,1,2,6.5,103-1,0
PA,spring,may,5/25/2021,0.33,12.78,6:45,103,1,2,6.5,103-2,0
PA,spring,may,5/25/2021,0.33,12.78,6:45,103,1,2,10.5,103-3,0
PA,spring,may,5/25/2021,0.33,12.78,6:45,103,1,2,10.5,103-4,0
PA,spring,may,5/25/2021,0.33,12.78,6:53,104,1,4,6.5,104-1,0
PA,spring,may,5/25/2021,0.33,12.78,6:53,104,1,4,6.5,104-2,0
PA,spring,may,5/25/2021,0.33,12.78,6:53,104,1,4,10.5,104-3,0
PA,spring,may,5/25/2021,0.33,12.78,6:53,104,1,4,10.5,104-4,0
PA,spring,may,5/25/2021,0.33,12.78,6:52,201,2,3,6.5,201-1,1
PA,spring,may,5/25/2021,0.33,12.78,6:52,201,2,3,6.5,201-2,4
PA,spring,may,5/25/2021,0.33,12.78,6:52,201,2,3,10.5,201-3,0
PA,spring,may,5/25/2021,0.33,12.78,6:52,201,2,3,10.5,201-4,3
PA,spring,may,5/25/2021,0.33,12.78,7:04,202,2,4,6.5,202-1,0
PA,spring,may,5/25/2021,0.33,12.78,7:04,202,2,4,6.5,202-2,2
PA,spring,may,5/25/2021,0.33,12.78,7:04,202,2,4,10.5,202-3,0
PA,spring,may,5/25/2021,0.33,12.78,7:04,202,2,4,10.5,202-4,2
PA,spring,may,5/25/2021,0.33,12.78,7:09,203,2,1,6.5,203-1,1
PA,spring,may,5/25/2021,0.33,12.78,7:09,203,2,1,6.5,203-2,0
PA,spring,may,5/25/2021,0.33,12.78,7:09,203,2,1,10.5,203-3,0
PA,spring,may,5/25/2021,0.33,12.78,7:09,203,2,1,10.5,203-4,1
PA,spring,may,5/25/2021,0.33,12.78,7:13,204,2,2,6.5,204-1,3
PA,spring,may,5/25/2021,0.33,12.78,7:13,204,2,2,6.5,204-2,1
PA,spring,may,5/25/2021,0.33,12.78,7:13,204,2,2,10.5,204-3,3
PA,spring,may,5/25/2021,0.33,12.78,7:13,204,2,2,10.5,204-4,0
PA,spring,may,5/25/2021,0.33,12.78,7:00,301,3,4,6.5,301-1,0
PA,spring,may,5/25/2021,0.33,12.78,7:00,301,3,4,6.5,301-2,0
PA,spring,may,5/25/2021,0.33,12.78,7:00,301,3,4,10.5,301-3,4
PA,spring,may,5/25/2021,0.33,12.78,7:00,301,3,4,10.5,301-4,2
PA,spring,may,5/25/2021,0.33,12.78,7:06,302,3,2,6.5,302-1,0
PA,spring,may,5/25/2021,0.33,12.78,7:06,302,3,2,6.5,302-2,2
PA,spring,may,5/25/2021,0.33,12.78,7:06,302,3,2,10.5,302-3,2
PA,spring,may,5/25/2021,0.33,12.78,7:06,302,3,2,10.5,302-4,0
PA,spring,may,5/25/2021,0.33,12.78,7:10,303,3,3,6.5,303-1,1
PA,spring,may,5/25/2021,0.33,12.78,7:10,303,3,3,6.5,303-2,3
PA,spring,may,5/25/2021,0.33,12.78,7:10,303,3,3,10.5,303-3,2
PA,spring,may,5/25/2021,0.33,12.78,7:10,303,3,3,10.5,303-4,1
PA,spring,may,5/25/2021,0.33,12.78,7:23,304,3,1,6.5,304-1,0
PA,spring,may,5/25/2021,0.33,12.78,7:23,304,3,1,6.5,304-2,0
PA,spring,may,5/25/2021,0.33,12.78,7:23,304,3,1,10.5,304-3,0
PA,spring,may,5/25/2021,0.33,12.78,7:23,304,3,1,10.5,304-4,0
PA,spring,may,5/25/2021,0.33,12.78,7:44,401,4,1,6.5,401-1,0
PA,spring,may,5/25/2021,0.33,12.78,7:44,401,4,1,6.5,401-2,0
PA,spring,may,5/25/2021,0.33,12.78,7:44,401,4,1,10.5,401-3,3
PA,spring,may,5/25/2021,0.33,12.78,7:44,401,4,1,10.5,401-4,0
PA,spring,may,5/25/2021,0.33,12.78,7:38,402,4,3,6.5,402-1,5
PA,spring,may,5/25/2021,0.33,12.78,7:38,402,4,3,6.5,402-2,1
PA,spring,may,5/25/2021,0.33,12.78,7:38,402,4,3,10.5,402-3,7
PA,spring,may,5/25/2021,0.33,12.78,7:38,402,4,3,10.5,402-4,1
PA,spring,may,5/25/2021,0.33,12.78,7:33,403,4,2,6.5,403-1,0
PA,spring,may,5/25/2021,0.33,12.78,7:33,403,4,2,6.5,403-2,1
PA,spring,may,5/25/2021,0.33,12.78,7:33,403,4,2,10.5,403-3,1
PA,spring,may,5/25/2021,0.33,12.78,7:33,403,4,2,10.5,403-4,1
PA,spring,may,5/25/2021,0.33,12.78,7:27,404,4,4,6.5,404-1,2
PA,spring,may,5/25/2021,0.33,12.78,7:27,404,4,4,6.5,404-2,0
PA,spring,may,5/25/2021,0.33,12.78,7:27,404,4,4,10.5,404-3,1
PA,spring,may,5/25/2021,0.33,12.78,7:27,404,4,4,10.5,404-4,0
PA,spring,may,5/25/2021,0.33,12.78,7:40,501,5,2,6.5,501-1,1
PA,spring,may,5/25/2021,0.33,12.78,7:40,501,5,2,6.5,501-2,2
PA,spring,may,5/25/2021,0.33,12.78,7:40,501,5,2,10.5,501-3,0
PA,spring,may,5/25/2021,0.33,12.78,7:40,501,5,2,10.5,501-4,0
PA,spring,may,5/25/2021,0.33,12.78,7:35,502,5,3,6.5,502-1,1
PA,spring,may,5/25/2021,0.33,12.78,7:35,502,5,3,6.5,502-2,2
PA,spring,may,5/25/2021,0.33,12.78,7:35,502,5,3,10.5,502-3,4
PA,spring,may,5/25/2021,0.33,12.78,7:35,502,5,3,10.5,502-4,1
PA,spring,may,5/25/2021,0.33,12.78,7:32,503,5,1,6.5,503-1,2
PA,spring,may,5/25/2021,0.33,12.78,7:32,503,5,1,6.5,503-2,0
PA,spring,may,5/25/2021,0.33,12.78,7:32,503,5,1,10.5,503-3,0
PA,spring,may,5/25/2021,0.33,12.78,7:32,503,5,1,10.5,503-4,0
PA,spring,may,5/25/2021,0.33,12.78,7:27,504,5,4,6.5,504-1,0
PA,spring,may,5/25/2021,0.33,12.78,7:27,504,5,4,6.5,504-2,1
PA,spring,may,5/25/2021,0.33,12.78,7:27,504,5,4,10.5,504-3,5
PA,spring,may,5/25/2021,0.33,12.78,7:27,504,5,4,10.5,504-4,1
PA,spring,june,6/1/2021,2.67,9,6:26,101,1,1,6.5,101-1,0
PA,spring,june,6/1/2021,2.67,9,6:26,101,1,1,6.5,101-2,0
PA,spring,june,6/1/2021,2.67,9,6:26,101,1,1,10.5,101-3,1
PA,spring,june,6/1/2021,2.67,9,6:26,101,1,1,10.5,101-4,0
PA,spring,june,6/1/2021,2.67,9,6:31,102,1,3,6.5,102-1,1
PA,spring,june,6/1/2021,2.67,9,6:31,102,1,3,6.5,102-2,0
PA,spring,june,6/1/2021,2.67,9,6:31,102,1,3,10.5,102-3,1
PA,spring,june,6/1/2021,2.67,9,6:31,102,1,3,10.5,102-4,1
PA,spring,june,6/1/2021,2.67,9,6:34,103,1,2,6.5,103-1,0
PA,spring,june,6/1/2021,2.67,9,6:34,103,1,2,6.5,103-2,1
