plot,trt_num,trt,year,block,%Moisture,lb_pass_moisture,lb_ac,bu_ac
101-1,1,Check,2023,1,9.12,13.78868966,2402.541286,40.04235476
101-2,1,Check,2023,1,8.91,21.7883092,3625.9344,60.43224
102-1,3,Green,2023,1,8.62,23.53822759,3904.7184,65.07864
102-2,3,Green,2023,1,8.35,19.68894828,3256.5456,54.27576
103-1,2,Brown,2023,1,9.29,9.800850575,1637.856,27.2976
103-2,2,Brown,2023,1,9.11,15.53487701,2590.9488,43.18248
104-1,4,Gr-Br,2023,1,8.74,23.76955862,3948.2784,65.80464
104-2,4,Gr-Br,2023,1,8.18,23.2294046,3835.0224,63.91704
201-1,3,Green,2023,2,8.57,23.34092299,3869.8704,64.49784
201-2,3,Green,2023,2,8.13,24.99497586,4124.2608,68.73768
202-1,4,Gr-Br,2023,2,8.26,25.09668966,4146.912,69.1152
202-2,4,Gr-Br,2023,2,8.27,19.6955908,3254.8032,54.24672
203-1,1,Check,2023,2,10,14.26551724,2402.7696,40.04616
203-2,1,Check,2023,2,8.37,20.00061724,3308.8176,55.14696
204-1,2,Brown,2023,2,8.66,22.64602069,3758.3568,62.63928
204-2,2,Brown,2023,2,8.22,22.88170345,3779.2656,62.98776
301-1,4,Gr-Br,2023,3,8.61,22.75295862,3774.0384,62.90064
301-2,4,Gr-Br,2023,3,8.62,23.26513793,3859.416,64.3236
302-1,2,Brown,2023,3,8.37,23.11814368,3824.568,63.7428
302-2,2,Brown,2023,3,8.26,24.16874483,3993.5808,66.55968
303-1,3,Green,2023,3,8.21,21.1961046,3500.4816,58.34136
303-2,3,Green,2023,3,8.02,22.67782759,3737.448,62.2908
304-1,1,Check,2023,3,9.13,5.786434483,965.2896,16.08816
304-2,1,Check,2023,3,9.49,11.4854069,1923.6096,32.06016
401-1,1,Check,2023,4,8.76,23.25046897,3862.9008,64.38168
401-2,1,Check,2023,4,9.19,22.50417931,3756.6144,62.61024
402-1,3,Green,2023,4,8.35,24.94565517,4126.0032,68.76672
402-2,3,Green,2023,4,8.28,24.31107126,4017.9744,66.96624
403-1,2,Brown,2023,4,8.49,26.46427126,4383.8784,73.06464
403-2,2,Brown,2023,4,8.51,24.09236667,3991.8384,66.53064
404-1,4,Gr-Br,2023,4,7.9,8.468965517,1393.92,23.232
404-2,4,Gr-Br,2023,4,8.2,8.409724138,1388.6928,23.14488
501-1,2,Brown,2023,5,8.48,21.81752644,3613.7376,60.22896
501-2,2,Brown,2023,5,8.5,22.47534483,3723.5088,62.05848
502-1,3,Green,2023,5,8.44,23.76350345,3934.3392,65.57232
502-2,3,Green,2023,5,8.28,23.57309425,3896.0064,64.93344
503-1,1,Check,2023,5,8.74,18.74501379,3113.6688,51.89448
503-2,1,Check,2023,5,8.36,20.65586667,3416.8464,56.94744
504-1,4,Gr-Br,2023,5,8.13,22.91470115,3781.008,63.0168
504-2,4,Gr-Br,2023,5,8.56,22.32397241,3700.8576,61.68096
101-1,1,Check,2022,1,18.7,10.298,1920.1248,32
101-2,1,Check,2022,1,16.91,13.00788276,2373.1488,40
102-1,3,Green,2022,1,20.38,17.13202759,3261.7728,54
102-2,3,Green,2022,1,19.64,16.64468046,3139.8048,52
103-1,2,Brown,2022,1,17.42,14.05758391,2580.4944,43
103-2,2,Brown,2022,1,17.75,16.33655172,3010.8672,50
104-1,4,Gr-Br,2022,1,16.72,18.36946207,3343.6656,56
104-2,4,Gr-Br,2022,1,15.32,15.5928,2791.3248,47
201-1,3,Green,2022,2,16.62,15.70802529,2855.7936,48
201-2,3,Green,2022,2,17.09,17.29674138,3162.456,53
202-1,4,Gr-Br,2022,2,17.02,18.62757931,3402.9072,57
202-2,4,Gr-Br,2022,2,17.05,17.11439655,3127.608,52
203-1,1,Check,2022,2,17.56,16.02368276,2946.3984,49
203-2,1,Check,2022,2,16.22,17.03526667,3082.3056,51
204-1,2,Brown,2022,2,16.08,17.44957241,3152.0016,53
204-2,2,Brown,2022,2,16.55,18.29185632,3322.7568,55
301-1,4,Gr-Br,2022,3,17.14,15.15290345,2772.1584,46
301-2,4,Gr-Br,2022,3,19.16,17.01356782,3190.3344,53
302-1,2,Brown,2022,3,15.55,11.93948276,2143.152,36
302-2,2,Brown,2022,3,17.32,15.53813793,2848.824,47
303-1,3,Green,2022,3,18.59,16.282,3031.776,51
303-2,3,Green,2022,3,18.69,17.66389655,3293.136,55
304-1,1,Check,2022,3,16.36,17.66053793,3200.7888,53
304-2,1,Check,2022,3,15.79,18.01319655,3242.6064,54
401-1,1,Check,2022,4,17.85,9.480298851,1749.3696,29
401-2,1,Check,2022,4,16.62,10.3602046,1883.5344,31
402-1,3,Green,2022,4,17.17,16.51839655,3023.064,50
402-2,3,Green,2022,4,17.5,18.46293103,3392.4528,57
403-1,2,Brown,2022,4,16.36,15.90121379,2881.9296,48
403-2,2,Brown,2022,4,16.67,15.94763793,2901.096,48
404-1,4,Gr-Br,2022,4,14.55,18.94632759,3361.0896,56
404-2,4,Gr-Br,2022,4,13.99,18.62561379,3282.6816,55
501-1,2,Brown,2022,5,16.64,12.62856092,2296.4832,38
501-2,2,Brown,2022,5,17.38,14.27331724,2618.8272,44
502-1,3,Green,2022,5,16.71,14.51352184,2641.4784,44
502-2,3,Green,2022,5,16.85,16.57265517,3021.3216,50
503-1,1,Check,2022,5,16.19,16.9932,3073.5936,51
503-2,1,Check,2022,5,18.88,15.65522759,2925.4896,49
504-1,4,Gr-Br,2022,5,14.64,15.21762759,2702.4624,45
504-2,4,Gr-Br,2022,5,14.77,15.49814483,2756.4768,46
,,59.63,2022,,,,,
,,59.42,2022,,,,,
