date,crop,trt,plot,split,family,genus,sp,life_stage
6/26/2023,beans,na,404,na,Lycosidae,Gladicosa,na,adult
6/26/2023,beans,na,404,na,Lycosidae,Schizocosa,na,adult
6/26/2023,beans,na,404,na,Elateridae,na,na,adult
6/26/2023,beans,na,404,na,Elateridae,na,na,adult
6/26/2023,beans,na,404,na,Elateridae,na,na,adult
6/26/2023,beans,na,404,na,Elateridae,na,na,adult
6/26/2023,beans,na,404,na,Formicidae,na,na,adult
6/26/2023,beans,na,404,na,Linyphiidae,na,na,adult
6/26/2023,beans,na,404,na,Carabidae,Pterostichus,na,adult
6/26/2023,beans,na,403,na,Lycosidae,Pardosa,na,adult
6/26/2023,beans,na,403,na,Elateridae,na,na,adult
6/26/2023,beans,na,403,na,Thomisidae,Misumenoides,na,adult
6/26/2023,beans,na,403,na,Formicidae,na,na,adult
6/26/2023,beans,na,403,na,Formicidae,na,na,adult
6/26/2023,beans,na,403,na,Formicidae,na,na,adult
6/26/2023,beans,na,403,na,Diplopoda,na,na,na
6/26/2023,beans,na,402,na,Elateridae,na,na,adult
6/26/2023,beans,na,402,na,Elateridae,na,na,adult
6/26/2023,beans,na,402,na,Elateridae,na,na,adult
6/26/2023,beans,na,402,na,Elateridae,na,na,adult
6/26/2023,beans,na,402,na,Elateridae,na,na,adult
6/26/2023,beans,na,402,na,Elateridae,na,na,adult
6/26/2023,beans,na,402,na,Coleoptera,na,na,juvenile
6/26/2023,beans,na,402,na,Linyphiidae,na,na,juvenile
6/26/2023,beans,na,402,na,Linyphiidae,na,na,juvenile
6/26/2023,beans,na,402,na,Diplopoda,na,na,adult
6/26/2023,beans,na,402,na,Diplopoda,na,na,na
6/26/2023,beans,na,402,na,Diplopoda,na,na,na
6/26/2023,beans,na,401,na,Lycosidae,Schizocosa,na,adult
6/26/2023,beans,na,401,na,Diplopoda,na,na,adult
6/26/2023,beans,na,401,na,Diplopoda,na,na,juvenile
6/26/2023,beans,na,401,na,Elateridae,na,na,adult
6/26/2023,beans,na,401,na,Staphylinidae,na,na,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Poecilus ,lucublandus ,adult
6/26/2023,beans,na,401,na,Carabidae,Chlaenius,nemoralis,adult
6/26/2023,beans,na,203,na,Opiliones,na,na,adult
6/26/2023,beans,na,203,na,Elateridae,na,na,adult
6/26/2023,beans,na,203,na,Elateridae,na,na,adult
6/26/2023,beans,na,203,na,Formicidae,na,na,adult
6/26/2023,beans,na,203,na,Formicidae,na,na,adult
6/26/2023,beans,na,203,na,Formicidae,na,na,adult
6/26/2023,beans,na,203,na,Linyphiidae,na,na,adult
6/26/2023,beans,na,203,na,Lycosidae,Trabeops,na,adult
6/26/2023,beans,na,203,na,Lycosidae,Pardosa,na,adult
6/26/2023,beans,na,203,na,Diplopoda,na,na,adult
6/26/2023,beans,na,203,na,Diplopoda,na,na,juvenile
