location,crop,date,am.weather,pm.weather,growth_stage,ploitid,block,treatment,row,sample,pm.absent,pm.partial,pm.predators,am.absent,am.partial,am.predators,n.pred,d.pred,to.predated
PA,beans,6/22/2022,22.7,26.1,V3,101,1,1,6,1,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,101,1,1,6,2,0,1,na,0,1,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,101,1,1,6,3,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,101,1,1,11,4,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,101,1,1,11,5,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,101,1,1,11,6,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,102,1,3,6,1,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,102,1,3,6,2,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,102,1,3,6,3,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,102,1,3,11,4,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,102,1,3,11,5,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,102,1,3,11,6,1,na,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,103,1,2,6,1,1,na,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,103,1,2,6,2,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,103,1,2,6,3,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,103,1,2,11,4,0,1,slug,0,1,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,103,1,2,11,5,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,103,1,2,11,6,0,0,na,0,1,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,104,1,4,6,1,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,104,1,4,6,2,0,0,na,0,1,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,104,1,4,6,3,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,104,1,4,11,4,0,1,na,0,1,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,104,1,4,11,5,0,1,slug,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,104,1,4,11,6,1,na,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,201,2,3,6,1,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,201,2,3,6,2,0,0,na,1,na,spider,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,201,2,3,6,3,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,201,2,3,11,4,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,201,2,3,11,5,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,201,2,3,11,6,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,202,2,4,6,1,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,202,2,4,6,2,0,1,na,0,0,na,1,0,1
PA,beans,6/22/2022,22.7,26.1,V3,202,2,4,6,3,0,0,na,0,1,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,202,2,4,11,4,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,202,2,4,11,5,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,202,2,4,11,6,0,1,slug,0,1,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,203,2,1,6,1,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,203,2,1,6,2,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,203,2,1,6,3,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,203,2,1,11,4,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,203,2,1,11,5,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,203,2,1,11,6,0,1,ants,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,204,2,2,6,1,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,204,2,2,6,2,0,1,ants,1,na,na,1,1,1
