date,Avg Air Temp (?F),Max Air Temp (?F),Min Air Temp (?F),Total Precipitation
5/1/2022,50.8,58,43.5,0.29
5/2/2022,55.5,64,47.1,0.04
5/3/2022,52,65.5,38.6,0.15
5/4/2022,59.1,65.6,52.7,0.33
5/5/2022,60.4,69.6,51.3,0.03
5/6/2022,54.2,60.6,47.7,1.7
5/7/2022,45.7,47.6,43.8,0.88
5/8/2022,48,62.1,34,0
5/9/2022,53.6,71.2,36,0
5/10/2022,57.8,73.3,42.3,0
5/11/2022,59.7,78.2,41.2,0
5/12/2022,59.3,75.9,42.7,0
5/13/2022,67.4,75.2,59.6,0
5/14/2022,68.5,74.8,62.2,0.19
5/15/2022,70.1,79.7,60.5,0.06
5/16/2022,59.9,66.7,53,0.26
5/17/2022,57.7,68.5,46.9,0
5/18/2022,51.2,64.8,37.6,0.08
5/19/2022,63.3,74.8,51.9,0.09
5/20/2022,63.7,73.7,53.7,0.31
5/21/2022,73,86.5,59.4,0
5/22/2022,70.4,81.4,59.4,0.02
5/23/2022,55.1,63.3,46.9,0
5/24/2022,55.3,61,49.6,0
5/25/2022,60.3,68.4,52.1,0
5/26/2022,64.3,71.9,56.6,0
5/27/2022,68.1,73.8,62.4,0.46
5/28/2022,64.3,72.3,56.2,0.03
5/29/2022,62.6,78,47.2,0
5/30/2022,71.4,87.9,54.9,0
5/31/2022,73.5,86.9,60,0
6/1/2022,74,85.9,62.1,0.26
6/2/2022,68.8,74.4,63.1,0.1
6/3/2022,62.8,74.7,50.9,0
6/4/2022,62,74.8,49.1,0
6/5/2022,61.3,75.3,47.4,0
6/6/2022,63,79.5,46.6,0
6/7/2022,65,68.2,61.9,0.32
6/8/2022,65.4,76.7,54.1,0.15
6/9/2022,60,65,55.1,0.44
6/10/2022,61,72.9,49.1,0
6/11/2022,60,71.8,48.1,0
6/12/2022,65.6,74.9,56.3,0.13
6/13/2022,73.1,84.1,62.1,0
6/14/2022,70.3,80.3,60.2,0.54
6/15/2022,71.1,84.8,57.4,0
6/16/2022,77.8,82.4,73.2,0.08
6/17/2022,73.5,81.5,65.6,0
6/18/2022,61.8,70.1,53.6,0
6/19/2022,59.1,72.4,45.8,0
6/20/2022,60.8,76.1,45.6,0
6/21/2022,71.6,85.1,58.1,0.25
6/22/2022,76.3,88.8,63.9,0.55
6/23/2022,70.3,77.2,63.5,0.02
6/24/2022,73.9,83.4,64.4,0
6/25/2022,72.7,86.7,58.7,0
6/26/2022,76.8,83.5,70.2,0
6/27/2022,66.9,77,56.8,0.3
6/28/2022,62.2,78.7,45.7,0
6/29/2022,64.3,80.7,47.9,0
6/30/2022,68.8,85.3,52.3,0
7/1/2022,70.3,85,55.5,0.6
7/2/2022,73.6,82.6,64.6,0.36
7/3/2022,71.1,82.8,59.4,0
7/4/2022,66.3,82.8,49.7,0
7/5/2022,70.9,78,63.8,0.17
7/6/2022,75.2,81.4,69,0.01
7/7/2022,74.3,82.9,65.8,0
7/8/2022,72.9,84,61.8,0
7/9/2022,73.8,81.5,66.1,0
7/10/2022,66.8,82.5,51,0
7/11/2022,71.3,84.8,57.8,0
7/12/2022,78.5,86,71.1,0
7/13/2022,71.2,84.1,58.3,0.02
7/14/2022,71,82.2,59.8,0
7/15/2022,69.7,86.2,53.2,0
7/16/2022,69.5,82.1,56.9,0
7/17/2022,68.3,77.7,59,0.28
7/18/2022,71.2,76.9,65.5,0.13
7/19/2022,74.5,85.6,63.5,0
7/20/2022,76.2,88,64.4,0
7/21/2022,77.1,86.4,67.7,0
