date,crop,trt,plot,split,family,genus,sp,life_stage
6/26/2023,corn,na,404,na,Formicidae,na,na,adult
6/26/2023,corn,na,404,na,Formicidae,na,na,adult
6/26/2023,corn,na,404,na,Formicidae,na,na,adult
6/26/2023,corn,na,404,na,Formicidae,na,na,adult
6/26/2023,corn,na,404,na,Opiliones,na,na,adult
6/26/2023,corn,na,404,na,Opiliones,na,na,adult
6/26/2023,corn,na,401,na,Formicidae,na,na,adult
6/26/2023,corn,na,401,na,Formicidae,na,na,adult
6/26/2023,corn,na,401,na,Formicidae,na,na,adult
6/26/2023,corn,na,401,na,Formicidae,na,na,adult
6/26/2023,corn,na,401,na,Formicidae,na,na,adult
6/26/2023,corn,na,401,na,Opiliones,na,na,adult
6/26/2023,corn,na,401,na,Opiliones,na,na,adult
6/26/2023,corn,na,401,na,Elateridae,na,na,adult
6/26/2023,corn,na,401,na,Elateridae,na,na,adult
6/26/2023,corn,na,401,na,Carabidae,Pterostichus,na,adult
6/26/2023,corn,na,401,na,Opiliones,na,na,adult
6/26/2023,corn,na,401,na,Tetrgnathidae,na,na,juvenile
6/26/2023,corn,na,401,na,Chilopoda,na,na,juvenile
6/26/2023,corn,na,402,na,Formicidae,na,na,adult
6/26/2023,corn,na,402,na,Formicidae,na,na,adult
6/26/2023,corn,na,402,na,Formicidae,na,na,adult
6/26/2023,corn,na,402,na,Formicidae,na,na,adult
6/26/2023,corn,na,402,na,Formicidae,na,na,adult
6/26/2023,corn,na,402,na,Formicidae,na,na,adult
6/26/2023,corn,na,402,na,Formicidae,na,na,adult
6/26/2023,corn,na,402,na,Opiliones,na,na,adult
6/26/2023,corn,na,402,na,Opiliones,na,na,adult
6/26/2023,corn,na,402,na,Diplopoda,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Formicidae,na,na,adult
6/26/2023,corn,na,403,na,Carabidae,Pterostichus,na,adult
6/26/2023,corn,na,403,na,Carabidae,Pterostichus,na,adult
6/26/2023,corn,na,403,na,Carabidae,Pterostichus,na,adult
6/26/2023,corn,na,403,na,Carabidae,Harpalus,na,adult
6/26/2023,corn,na,202,na,Opiliones,na,na,adult
6/26/2023,corn,na,202,na,Opiliones,na,na,adult
6/26/2023,corn,na,202,na,Opiliones,na,na,adult
6/26/2023,corn,na,202,na,Opiliones,na,na,adult
6/26/2023,corn,na,202,na,Opiliones,na,na,adult
6/26/2023,corn,na,202,na,Opiliones,na,na,adult
6/26/2023,corn,na,202,na,Opiliones,na,na,adult
6/26/2023,corn,na,202,na,Opiliones,na,na,adult
6/26/2023,corn,na,202,na,Elateridae,na,na,adult
6/26/2023,corn,na,202,na,Diplopoda,na,na,adult
6/26/2023,corn,na,202,na,Formicidae,na,na,adult
6/26/2023,corn,na,202,na,Formicidae,na,na,adult
6/26/2023,corn,na,202,na,Formicidae,na,na,adult
6/26/2023,corn,na,202,na,Formicidae,na,na,adult
6/26/2023,corn,na,202,na,Formicidae,na,na,adult
6/26/2023,corn,na,202,na,Formicidae,na,na,adult
6/26/2023,corn,na,202,na,Formicidae,na,na,adult
6/26/2023,corn,na,202,na,Formicidae,na,na,adult
6/26/2023,corn,na,202,na,Formicidae,na,na,adult
6/26/2023,corn,na,202,na,Formicidae,na,na,adult
6/26/2023,corn,na,203,na,Formicidae,na,na,adult
6/26/2023,corn,na,203,na,Formicidae,na,na,adult
6/26/2023,corn,na,203,na,Formicidae,na,na,adult
6/26/2023,corn,na,203,na,Opiliones,na,na,adult
6/26/2023,corn,na,203,na,Opiliones,na,na,adult
6/26/2023,corn,na,203,na,Opiliones,na,na,adult
6/26/2023,corn,na,204,na,Formicidae,na,na,adult
6/26/2023,corn,na,204,na,Formicidae,na,na,adult
6/26/2023,corn,na,204,na,Formicidae,na,na,adult
6/26/2023,corn,na,204,na,Formicidae,na,na,adult
6/26/2023,corn,na,204,na,Formicidae,na,na,adult
6/26/2023,corn,na,204,na,Formicidae,na,na,adult
6/26/2023,corn,na,204,na,Formicidae,na,na,adult
6/26/2023,corn,na,204,na,Formicidae,na,na,adult
6/26/2023,corn,na,204,na,Formicidae,na,na,adult
6/26/2023,corn,na,204,na,Formicidae,na,na,adult
6/26/2023,corn,na,204,na,Formicidae,na,na,adult
6/26/2023,corn,na,204,na,Formicidae,na,na,adult
6/26/2023,corn,na,204,na,Formicidae,na,na,adult
6/26/2023,corn,na,204,na,Thomisidae,Misumenoides,na,adult
6/26/2023,corn,na,204,na,Opiliones,na,na,adult
6/26/2023,corn,na,204,na,Opiliones,na,na,adult
6/26/2023,corn,na,201,na,Carabidae,Pterostichus,na,adult
6/26/2023,corn,na,201,na,Carabidae,Pterostichus,na,adult
6/26/2023,corn,na,201,na,Carabidae,Pterostichus,na,adult
6/26/2023,corn,na,201,na,Thomisidae,Misumenoides,na,adult
