Date,Plot ,Order,Family ,Genus ,adult_juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,102,Araneomorphae,Tetragnathidae,Tetragnatha,adult,
5/18/2023,102,Araneomorphae,Salticidae,na,adult,
5/18/2023,102,Araneomorphae,Thomisidae,Misumenoides,adult,
5/18/2023,104,Araneomorphae,Linyphiidae,na,adult,
5/18/2023,104,Hemiptera,Heteroptera,na,adult,
5/18/2023,104,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,104,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,104,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,104,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,104,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,104,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,104,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,104,Araneomorphae,Tetragnathidae,na,adult,
5/18/2023,104,Araneomorphae,Linyphiidae,na,adult,
5/18/2023,104,Araneomorphae,Linyphiidae,na,adult,
5/18/2023,104,Araneomorphae,Thendiidae,na,na,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,201,Araneomorphae,Thomisidae,na,adult,
5/18/2023,201,Araneomorphae,Philodromidae,Philodromus,adult,
5/18/2023,201,Araneomorphae,Anyphaenidae,na,adult,
5/18/2023,201,Araneomorphae,unknown,na,na,
5/18/2023,202,Araneomorphae,Tetragnathidae,na,juvenile,
5/18/2023,202,Araneomorphae,Tetragnathidae,na,adult,
5/18/2023,202,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,202,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,202,Hemiptera,Heteroptera,na,juvenile,
5/18/2023,202,Hemiptera,Heteroptera,na,juvenile,
