Year,Crop,CropYear,CC,BrownPlot,GreenBrownPlot,GreenPlot,BrownInt,GreenBrownInt,GreenInt,Interaction,CC.win,Split,Herb,Plot,Obs_ID,Block,YieldData,YieldBuac,Rye.kgha,WeedUnit,UTC.tot.density.siteyear,UTC.dic.density.siteyear,UTC.mon.density.siteyear,UTC.erica.density.siteyear,TOTAL_den,DICOT_den,GRASS_den,AMACH_den,CHEAL_den,ERICA_den,OtherDicot_den,SEDGE_den,Response,AMACH_bio_g,CHEAL_bio_g,ERICA_bio_g,BL_bio_g,GRASS_bio_g,SEDGE_bio_g
2022,soybean,soybean (2022),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,102,obs3,B1,no,na,2398,2 sqm,92,79,13,30,99,96,3,0,1,52,43,9,Biomass,0,0.006,12.85,6.08,0.074,0.73
2022,soybean,soybean (2022),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,201,obs9,B2,no,na,2316,2 sqm,92,79,13,30,13,13,0,0,0,2,11,0,Biomass,0,0,0.44,0.59,0,0
2022,soybean,soybean (2022),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,303,obs21,B3,no,na,3548,2 sqm,92,79,13,30,46,46,0,13,4,1,28,0,Biomass,2.499,0.76,0.078,3.09,0,0
2022,soybean,soybean (2022),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,402,obs27,B4,no,na,3002,2 sqm,92,79,13,30,22,18,4,4,1,1,12,0,Biomass,1.182,1.01,0.027,1.94,0.16,0
2022,soybean,soybean (2022),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,502,obs35,B5,no,na,3580,2 sqm,92,79,13,30,76,75,1,8,10,3,54,0,Biomass,1.36,1.2,1.05,1.21,0,0
2021,corn,corn (2021),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,102,obs43,B1,no,na,5375,2 sqm,48,46,1,na,21,21,0,na,na,na,21,0,Biomass,na,na,na,0.54,0,0
2021,corn,corn (2021),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,201,obs49,B2,no,na,5882,2 sqm,48,46,1,na,9,4,5,na,na,na,4,0,Biomass,na,na,na,0.09,0.11,0
2021,corn,corn (2021),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,303,obs61,B3,no,na,4966,2 sqm,48,46,1,na,6,4,2,na,na,na,4,0,Biomass,na,na,na,0.03,0.21,0
2021,corn,corn (2021),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,402,obs67,B4,no,na,5313,2 sqm,48,46,1,na,6,6,0,na,na,na,6,0,Biomass,na,na,na,0.12,0,0
2021,corn,corn (2021),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,502,obs75,B5,no,na,4928,2 sqm,48,46,1,na,4,3,1,na,na,na,3,0,Biomass,na,na,na,0.05,0.75,0
2022,corn,corn (2022),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,102,obs83,B1,no,na,5334,2 sqm,68,48,20,16,148,32,116,17,0,4,11,35,Biomass,0.54,0,0.05,0.024,5.7,0
2022,corn,corn (2022),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,201,obs89,B2,no,na,4741,2 sqm,68,48,20,16,12,11,1,1,5,1,4,14,Biomass,0.001,0.235,0.032,0.065,0.011,0
2022,corn,corn (2022),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,303,obs101,B3,no,na,5456,2 sqm,68,48,20,16,33,8,25,1,4,0,3,11,Biomass,0,0.11,0,0.24,2.63,0
2022,corn,corn (2022),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,402,obs107,B4,no,na,6285,2 sqm,68,48,20,16,47,11,36,1,6,3,1,14,Biomass,0.027,0.054,0.159,0.072,1.2,0.086
2022,corn,corn (2022),1-3 DAP,no,no,yes,no,no,yes,CC,21,Weedy,UTC,502,obs115,B5,no,na,5638,2 sqm,68,48,20,16,47,9,38,1,3,1,4,12,Biomass,0.081,0.034,0.016,0.054,1.69,0.64
